distance,duration
269.603600,0.312000
248.604843,0.298000
263.376299,0.311000
270.000290,0.395000
249.368775,0.239000
246.542542,0.240000
252.832144,0.283000
259.505290,0.277000
243.945804,0.212000
263.324950,0.370000
877.479290,0.597000
638.618737,0.428000
235.922929,0.260000
762.664266,0.456000
363.030337,0.247000
163.556349,0.316000
460.995741,0.353000
364.887882,0.477000
371.322116,0.310000
315.763786,0.228000
392.582288,0.456000
266.726970,0.315000
76.000000,0.313000
127.556349,0.393000
373.835927,0.336000
1391.328223,0.506000
232.571689,0.228000
329.415074,0.325000
546.715828,0.367000
369.184480,0.403000
74.378204,0.137000
461.970402,0.363000
279.097649,0.366000
208.991523,0.252000
246.704105,0.268000
268.059283,0.343000
244.804610,0.307000
366.379446,0.399000
56.242641,0.181000
232.271416,0.232000
236.110794,0.289000
94.556349,0.199000
349.854859,0.405000
386.689866,0.402000
278.046299,0.400000
598.155343,0.660000
545.635812,0.482000
30.656854,0.119000
117.071068,0.375000
591.949121,0.443000
77.556349,0.113000
784.736937,0.810000
63.071068,0.129000
186.040678,0.188000
572.588199,0.437000
467.197232,0.413000
181.907310,0.207000
464.653636,0.562000
125.656854,0.173000
185.829669,0.170000
201.870058,0.350000
196.526912,0.344000
161.378204,0.312000
274.835570,0.288000
67.656854,0.251000
470.678385,0.507000
501.540024,0.525000
67.828427,0.192000
214.413685,0.193000
195.894455,0.250000
333.016862,0.487000
461.137001,0.317000
128.384776,0.245000
170.085455,0.130000
747.082198,0.386000
554.747579,0.473000
785.685208,0.610000
335.919207,0.314000
423.163386,0.411000
285.869106,0.435000
155.798038,0.178000
322.438600,0.570000
344.656493,0.430000
373.399158,0.311000
77.313708,0.143000
297.076978,0.292000
48.656854,0.178000
169.982756,0.296000
255.421396,0.210000
248.402310,0.242000
91.656854,0.224000
295.027402,0.212000
532.353745,0.386000
266.624561,0.437000
108.898543,0.132000
224.846241,0.276000
101.520339,0.149000
342.720687,0.275000
77.142136,0.141000
559.396969,0.386000
325.861581,0.587000
205.743262,0.327000
448.777035,0.483000
285.976183,0.389000
573.946932,0.590000
419.596395,0.472000
745.622299,0.640000
252.296465,0.446000
154.012193,0.211000
246.275794,0.259000
136.556349,0.240000
265.435174,0.262000
399.745863,0.413000
122.071068,0.218000
126.549776,0.386000
491.393732,0.337000
189.798990,0.377000
161.306184,0.174000
1768.721139,0.869000
352.156824,0.377000
632.627601,0.358000
239.454374,0.230000
581.081656,0.293000
451.633048,0.576000
448.190981,0.334000
414.361250,0.488000
323.387466,0.551000
357.331812,0.473000
412.778026,0.260000
86.828427,0.178000
63.899495,0.142000
113.870058,0.163000
174.546920,0.192000
540.086046,0.409000
174.783940,0.196000
78.142136,0.127000
425.576647,0.421000
361.268377,0.357000
206.468037,0.238000
25.300563,0.033000
266.011241,0.474000
126.284271,0.203000
295.675910,0.310000
328.678385,0.328000
253.716299,0.261000
227.343716,0.256000
281.433270,0.344000
442.210309,0.333000
149.506242,0.151000
201.216920,0.173000
410.689346,0.357000
117.284271,0.212000
236.027823,0.200000
472.704344,0.402000
18.414214,0.064000
243.448743,0.335000
360.916025,0.544000
195.976183,0.271000
366.703930,0.231000
339.163386,0.365000
388.368775,0.432000
341.550346,0.616000
177.698485,0.372000
185.984950,0.222000
335.453389,0.311000
