distance,duration
918.093566,0.643990
737.335840,0.614981
507.560571,0.617997
803.495198,0.714043
387.469893,0.419988
159.307136,0.148997
514.487002,0.482979
344.330600,0.473039
364.398645,0.296990
328.059666,0.430001
574.009062,0.646993
276.899495,1.262997
71.828427,0.181986
253.970563,0.646995
418.610897,0.428988
1410.228325,0.761996
291.991533,0.523992
375.278253,0.483994
655.802475,0.666000
486.665239,0.883051
85.556349,0.555993
463.668530,0.482000
634.846241,1.827989
194.342194,0.600005
261.177193,0.495004
254.369932,0.327996
678.749463,1.069985
378.782708,0.469006
85.000000,1.423006
231.411357,0.268000
245.633762,0.485024
93.798990,0.169994
304.442252,0.210005
532.179958,0.857993
284.980909,0.434009
551.006742,0.786000
667.785462,1.931990
235.071068,0.680996
124.313708,0.313999
603.401236,1.012997
86.242641,0.370996
710.709335,0.677998
596.672209,0.555000
182.724786,0.200998
659.895871,0.508998
464.879123,0.433001
187.755455,0.280000
331.690298,0.446998
138.727922,0.561001
178.837194,0.281003
457.325902,1.847987
167.959612,0.143995
817.067259,2.158996
308.732591,0.789997
70.071068,0.325003
451.461458,0.481998
428.015401,0.445997
86.828427,0.617003
260.792417,0.971992
262.442699,0.874996
340.281135,0.746994
438.474930,0.328002
111.064495,0.176003
1513.502924,1.695992
755.773418,0.465043
50.899495,0.297995
607.594145,0.472998
952.074345,0.693000
530.964570,0.893994
428.575059,0.454992
283.669048,0.805996
211.384776,0.679998
300.461475,0.386999
387.029112,0.915994
419.389735,0.849991
100.414214,1.084997
307.983998,0.405998
84.899495,0.397998
189.963990,0.759994
270.232932,0.598998
255.179283,0.347001
145.899495,0.761999
317.379736,0.460000
671.352389,0.979987
264.726970,0.875998
117.284271,0.232996
275.812425,0.945998
192.035058,0.606990
394.188455,0.734991
71.656854,0.194002
553.574897,0.396994
280.613319,0.506996
1425.719541,1.910998
443.009099,0.464990
271.579311,0.191987
543.275153,0.718003
412.059380,0.581992
747.460105,0.491984
412.450814,0.510998
1527.321431,5.609989
264.976183,0.504996
420.400116,0.955000
347.881895,0.719987
419.524056,0.647012
123.656854,0.199000
109.899495,0.181002
479.719732,0.361995
187.028485,0.442001
164.649329,0.358022
1766.299173,1.401937
462.696581,1.031991
679.607194,1.011996
234.543504,0.184994
681.907082,0.618990
584.341003,0.967007
482.454374,0.915997
591.263219,1.314000
430.327144,0.641995
557.681379,1.034003
432.919275,0.598996
84.656854,0.381997
71.242641,0.216993
435.440028,0.827997
175.396028,0.151992
644.653998,1.560995
181.976886,0.138995
74.899495,0.174001
402.733516,0.286004
391.774221,0.876997
50.000000,0.636000
213.564164,0.308003
64.414214,0.323988
282.083261,0.578993
109.213203,0.346999
269.649676,0.214004
365.997144,0.665006
248.553493,0.317991
348.231028,1.067995
279.081367,0.759999
485.009957,1.319996
143.859367,0.066990
551.657445,0.846000
423.485333,0.611002
150.071068,0.927996
314.219124,0.642004
618.892571,1.076000
540.445183,0.901985
171.384776,0.298998
285.761076,0.362997
633.200348,1.071002
392.712221,0.481007
496.490240,1.373998
906.961486,1.616990
349.631133,0.619001
210.471184,0.446000
211.820902,0.483009
396.232270,1.200993
510.293608,0.748996
429.733833,0.565000
350.457406,0.304993
541.542684,0.493001
92.071068,0.532989
614.412382,0.492006
875.666777,0.884986
309.555397,0.525993
448.170562,0.433997
647.341861,0.592996
566.110276,0.580992
603.447801,0.660991
844.799270,0.700991
669.643705,0.468993
139.485281,0.377997
547.044233,0.834991
295.241584,0.194989
192.753271,0.428036
585.607402,0.411953
556.968477,0.586986
228.726970,0.615998
503.209373,0.378990
309.307745,0.429995
297.607989,0.307969
801.797879,0.675037
636.753085,0.397989
625.382062,0.722994
426.015835,0.285995
255.080486,0.135989
82.312756,0.125003
136.956465,0.343996
266.859038,0.135996
128.149951,0.162004
86.601126,0.099993
708.564719,0.321991
672.390244,0.398996
342.057561,0.320995
1227.363382,0.953967
459.927980,0.677999
918.890630,0.875996
711.878738,0.524996
381.843859,0.265996
266.086698,0.286992
1003.472858,0.409040
684.793626,0.567996
855.922453,0.664998
559.132355,0.486000
651.426407,1.521985
149.242641,0.251999
93.242641,0.379995
620.335093,1.071994
89.213203,0.168997
511.171387,0.672997
91.378204,0.197992
646.534775,0.494990
154.827475,0.222998
177.315903,0.217994
222.334669,0.388992
760.072586,0.390962
289.498280,0.242987
232.274001,0.126989
210.577090,0.145991
208.853672,0.170957
400.444140,0.410984
301.119043,0.604999
525.769970,0.571996
139.740115,0.188987
86.355339,0.218996
133.485281,0.575005
976.352612,0.818995
427.162969,0.214009
115.313708,0.431994
942.788041,0.519994
83.414214,1.505996
751.236424,0.673006
977.437887,0.912002
402.020298,0.526996
474.516342,0.641001
154.071068,0.394986
107.384776,0.322993
109.071068,0.342997
130.856912,0.211003
99.371631,0.183997
378.805129,0.359997
536.751996,0.505971
1014.580904,0.583998
586.858266,0.451002
571.537688,0.366002
119.441747,0.129990
1085.682483,0.660998
511.161765,0.364981
476.211577,0.315000
470.967341,0.329981
481.085258,0.410994
232.234164,0.373992
386.557141,0.231007
899.035473,0.712958
351.899785,0.662999
690.387692,0.561995
331.418731,0.200992
916.814488,0.480970
449.617354,0.246007
410.612812,0.231002
698.618734,1.030017
127.733543,0.282998
254.335621,0.267999
673.289481,0.799002
1373.473646,1.087959
923.282779,0.805002
249.934553,0.279004
206.357533,0.368993
317.060488,0.227991
491.098296,0.444008
683.623285,0.409953
497.760503,0.529997
1148.901274,0.941985
309.727922,2.750997
308.627417,0.836000
250.820902,0.585998
1224.847483,2.185006
629.183766,1.810004
347.636184,0.967002
370.183019,0.320001
582.217385,0.283954
88.455844,0.188994
1213.595047,1.754002
131.142136,0.506004
234.485281,1.430002
122.384776,0.806001
162.041631,0.642993
196.071068,1.378008
191.254834,0.968055
953.065574,1.272001
75.828427,0.554999
149.348766,0.256950
50.142136,0.144990
99.213203,0.375033
192.286466,0.395995
327.587029,0.662000
75.549776,0.427002
74.828427,0.195000
69.071068,0.305997
71.656854,0.227998
58.000000,0.140996
65.485281,0.385009
86.727922,0.389996
94.299611,0.134999
115.106126,0.293997
653.024677,0.977013
672.485962,0.998993
533.526912,2.342003
500.746460,0.658989
294.313708,1.011006
499.290723,0.688006
121.899495,0.141990
783.380215,0.857001
770.685497,0.431979
83.455844,0.211006
72.892922,0.280009
433.099308,0.327993
528.917853,0.428995
213.177193,0.859999
479.428182,0.397974
272.384444,0.193993
60.414214,1.094959
440.321854,0.300988
893.692492,1.661010
803.871691,1.129005
1386.209415,1.987998
529.656556,0.742997
346.794569,0.349990
446.062956,1.006996
128.142136,0.183996
656.708008,0.388991
283.556349,0.409003
302.347814,0.417008
284.672194,0.449998
560.285122,0.547002
94.649329,0.316001
286.216112,0.307999
97.206631,0.323051
294.549962,0.309996
84.342194,0.113010
273.648283,0.530997
148.870058,0.352999
466.031000,0.357998
148.619892,0.209000
365.661607,0.233994
139.342194,0.191992
387.146138,0.272992
170.784892,0.235997
379.358972,0.358994
163.471184,0.229000
1497.409179,1.022995
500.348766,1.618996
137.899495,0.738000
129.556349,0.394989
793.467584,0.958995
430.769019,0.324995
192.863485,0.206988
143.756407,0.142991
405.014388,0.619004
695.782470,0.701001
131.292086,0.144992
141.548824,0.257999
542.583704,0.726053
127.242641,0.283002
692.036291,1.888046
504.801222,0.425004
410.320571,0.552999
492.507122,0.441993
284.486682,0.120990
329.048409,0.314004
748.340516,0.587985
131.142136,0.532993
128.556349,0.514998
775.938590,0.728007
443.784158,0.482992
468.759535,0.211993
189.225407,0.164996
166.564588,0.197998
178.371921,0.161996
499.865397,0.262992
461.791402,0.650003
526.632386,0.815996
192.414214,0.402999
386.371598,0.554046
977.361074,1.009006
500.989339,1.040000
88.485281,0.311996
100.727922,0.148004
107.307136,0.164002
159.798990,0.408997
129.656854,0.363004
390.161749,0.363997
537.755906,0.687994
527.591767,0.598000
521.867759,0.410001
189.071068,0.254991
307.698485,1.154992
200.242641,0.606996
126.455844,0.261995
573.183724,0.312996
154.213203,0.579031
125.792417,0.159998
346.288660,0.425999
130.721349,0.190951
193.958660,0.238999
1016.476392,1.003991
380.356258,0.477987
962.737520,0.614005
182.992812,0.175947
819.281652,0.614999
86.135563,0.210008
420.530359,0.446996
323.136058,0.279002
376.062090,0.310000
874.995383,1.148999
63.899495,0.392996
359.303692,0.177953
361.194186,0.187988
382.626990,0.181990
521.853417,0.318002
408.894601,0.273007
404.989401,0.348997
1096.607465,1.271003
204.351251,0.265959
247.481089,0.193995
165.982662,0.148000
472.422118,0.227995
499.108328,0.456992
