distance,duration
499.042632,0.330004
414.888656,0.283988
707.678985,0.527990
27.656854,0.059947
261.278194,0.189988
238.282377,0.221989
789.495198,0.561046
379.469893,0.335994
158.307136,0.144994
477.759080,0.282037
34.727922,0.050994
342.330600,0.422948
363.398645,0.292042
327.059666,0.416998
104.485281,0.115038
455.523780,0.321997
11.000000,0.048992
258.899495,0.937995
70.828427,0.179988
183.142136,0.374007
68.828427,0.147990
417.610897,0.424996
1407.228325,0.704995
278.577320,0.302984
11.414214,0.063999
344.035612,0.285994
28.242641,0.066996
654.802475,0.660995
437.765744,0.581997
46.899495,0.238975
74.556349,0.215996
462.668530,0.474994
66.828427,0.230988
78.828427,0.130000
102.485281,0.181001
152.271126,0.267003
40.071068,0.158005
260.177193,0.484998
235.955718,0.177001
16.414214,0.034992
346.266085,0.329988
319.069164,0.574000
10.414214,0.040992
377.782708,0.454004
52.000000,0.171996
230.411357,0.261998
217.633762,0.182005
22.000000,0.126995
92.798990,0.166011
303.442252,0.201994
59.828427,0.132986
468.351531,0.582004
280.980909,0.346003
84.828427,0.173004
448.764101,0.390997
14.414214,0.065002
31.000000,0.116996
24.000000,0.132004
375.716299,0.812996
216.654950,0.338986
14.000000,0.136004
113.242641,0.231993
18.000000,0.081997
96.828427,0.167995
123.313708,0.312005
586.401236,0.427997
5.000000,0.015982
80.242641,0.300008
29.414214,0.057004
679.295121,0.488007
266.166486,0.167998
328.505724,0.335999
181.724786,0.190993
658.895871,0.502994
463.879123,0.418994
186.341242,0.273994
324.690298,0.307994
132.727922,0.430999
175.837194,0.168992
26.828427,0.082989
98.071068,0.257000
92.656854,0.264008
205.769553,0.562000
7.000000,0.074998
19.000000,0.108997
166.959612,0.137991
188.142136,0.306003
23.828427,0.066998
134.142136,0.313998
156.956465,0.198991
294.998096,0.528996
57.485281,0.155984
92.406689,0.118000
145.840620,0.216991
58.656854,0.189000
9.414214,0.099991
440.047245,0.368000
9.414214,0.055011
394.186974,0.253991
31.828427,0.135993
66.414214,0.244006
224.792417,0.404992
108.000000,0.322989
8.000000,0.043999
140.442699,0.229987
329.866921,0.560996
437.474930,0.321992
110.064495,0.171009
330.551319,0.415997
443.912930,0.586994
730.038675,0.366990
754.773418,0.446988
606.594145,0.455998
951.074345,0.685998
529.964570,0.857990
427.575059,0.422988
170.627417,0.355005
107.041631,0.169998
176.384776,0.412994
24.000000,0.126994
299.461475,0.382987
35.828427,0.182997
337.786471,0.430991
396.389735,0.660990
73.414214,0.358000
306.983998,0.398998
22.828427,0.099000
57.071068,0.187998
181.963990,0.532995
220.232932,0.215990
43.000000,0.145000
242.179283,0.216999
106.899495,0.352990
22.000000,0.100999
316.379736,0.452000
665.352389,0.818995
254.726970,0.566999
116.284271,0.220995
164.498717,0.164998
4.000000,0.014981
29.828427,0.122000
68.485281,0.219992
52.071068,0.102988
124.135563,0.276993
367.188455,0.577992
25.000000,0.086994
70.656854,0.183997
552.574897,0.380996
279.613319,0.493007
673.432741,0.892001
9.414214,0.054014
110.313708,0.146997
626.558878,0.463996
442.009099,0.459988
270.165098,0.190985
541.275153,0.528999
349.230953,0.267001
59.828427,0.143995
745.460105,0.468981
97.071068,0.131001
313.379746,0.329990
146.664669,0.241997
263.976183,0.475010
144.242641,0.313000
141.914835,0.183994
131.242641,0.282003
272.639254,0.260993
71.242641,0.219990
84.549776,0.141004
332.974279,0.438996
122.656854,0.191994
108.485281,0.177994
478.719732,0.345986
156.785844,0.215995
28.242641,0.165995
163.649329,0.336000
1324.415680,0.671940
438.883493,0.647939
461.696581,1.028999
649.192981,0.536003
233.543504,0.180995
680.907082,0.598988
540.098363,0.577006
12.414214,0.069000
28.828427,0.189992
465.040160,0.562011
214.732591,0.272996
188.768601,0.322001
161.519387,0.164998
15.828427,0.052936
372.185008,0.466995
56.142136,0.119996
81.485281,0.244998
380.888962,0.468992
92.307136,0.189995
431.919275,0.595988
83.656854,0.361005
70.242641,0.215997
213.085641,0.170002
48.828427,0.260999
169.525960,0.250009
174.396028,0.145987
171.070116,0.334996
73.899495,0.214993
364.270174,0.390989
180.976886,0.132986
73.899495,0.153998
401.733516,0.251993
345.945794,0.594993
43.828427,0.242994
207.564164,0.216000
18.000000,0.079994
44.414214,0.183996
280.083261,0.521001
107.213203,0.256976
267.649676,0.210998
329.582930,0.351999
34.414214,0.241006
247.553493,0.298991
37.828427,0.162997
219.189397,0.351988
68.213203,0.108984
247.667154,0.334991
25.414214,0.150999
452.595743,0.433997
142.859367,0.065984
199.872252,0.205993
349.785193,0.442979
422.485333,0.606006
122.071068,0.448002
258.219124,0.268992
36.000000,0.106994
15.000000,0.088002
434.507794,0.364999
26.242641,0.081003
67.485281,0.129008
85.656854,0.165992
245.566358,0.273000
290.464611,0.419997
170.384776,0.287003
284.761076,0.347988
632.200348,1.058994
391.712221,0.445002
364.762318,0.458995
72.071068,0.166998
50.828427,0.145993
